"Numero";"Edad";"Genero";"EstadoCivil";"NivelEducativo";"paisPregunta";"Provincia";"SituacionLaboral";"CondicionLaboral";"RubroLaboral";"Estabilidad";"ClaseSocial";"CoberturaMedica";"PersonasACargo";"Vivienda";"Ahorros";"Inversiones";"Alineacion";"Religion";"Vehiculo";"Television";"Internet";"Fuma";"Crisis";"ganancia1_final";"ganancia1_anterior";"ganancia1_recorrido";"ganancia2_final";"ganancia2_anterior";"ganancia2_recorrido";"ganancia3_final";"ganancia3_anterior";"ganancia3_recorrido";"perdida1_final";"perdida1_anterior";"perdida1_recorrido";"perdida2_final";"perdida2_anterior";"perdida2_recorrido";"perdida3_final";"perdida3_anterior";"perdida3_recorrido";"mix1_final";"mix1_anterior";"mix1_recorrido";"mix2_final";"mix2_anterior";"mix2_recorrido";"mix3_final";"mix3_anterior";"mix3_recorrido";"cambiarRespuesta"
"1";"25 a 34";"Masculino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"0";"Alquila";"Si";"Moneda extranjera";"Sin respuesta";"Cristianismo evangélico";"No tengo vehículo propio";"Si";"Wifi por cable";"Si";"3 o más";"96";"93";"NO|SI|SI|SI|SI|";"1406";"1437";"SI|NO|SI|SI|NO|";"4687";"4375";"NO|NO|SI|SI|SI|";"104";"107";"NO|SI|SI|SI|SI|";"32";"63";"SI|SI|SI|SI|SI|";"2187";"1875";"SI|SI|SI|NO|NO|";"100";"102";"SI|NO|NO|NO|NO|";"1467";"1511";"SI|NO|NO|NO|NO|";"4674";"4815";"SI|NO|NO|NO|NO|";"No"
"2";"25 a 34";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Accord";"0";"Alquila";"No";"Ninguno";"Izquierda";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"No";"Wifi por fibra óptica";"Si";"1";"46";"43";"NO|NO|SI|SI|SI|";"532";"563";"NO|SI|NO|NO|NO|";"8437";"8125";"NO|SI|SI|NO|SI|";"40";"43";"SI|SI|NO|NO|SI|";"532";"563";"SI|NO|SI|SI|SI|";"11563";"11875";"NO|SI|SI|IN|SI|";"57";"58";"SI|NO|SI|NO|NO|";"599";"582";"SI|NO|NO|NO|SI|";"10611";"10869";"SI|NO|SI|NO|NO|";"Sin respuesta"
"3";"25 a 34";"Masculino";"Casado/a o viviendo en pareja";"Maestría incompleta ";"Otros";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"1";"Alquila";"Si";"Moneda extranjera";"Derecha";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"3 o más";"54";"57";"NO|SI|IN|NO|NO|";"844";"813";"NO|SI|SI|NO|SI|";"8437";"8125";"NO|SI|SI|NO|SI|";"122";"119";"IN|SI|SI|NO|IN|";"594";"563";"SI|NO|SI|SI|NO|";"12187";"11875";"NO|SI|SI|NO|NO|";"45";"44";"NO|SI|SI|NO|SI|";"544";"569";"NO|SI|NO|SI|NO|";"3365";"3623";"NO|NO|SI|SI|NO|";"Si"
"4";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"No registrado (trabajo en negr";"Sector privado";"Inseguro";"Clase media";"Otras";"3 o más";"Propietario";"No";"Ninguno";"Centro";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"Si";"3 o más";"46";"43";"NO|IN|SI|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"937";"625";"NO|NO|NO|NO|SI|";"154";"157";"NO|NO|SI|SI|SI|";"1032";"1063";"IN|SI|SI|SI|SI|";"2187";"1875";"SI|SI|SI|NO|NO|";"15";"14";"NO|IN|SI|NO|SI|";"99";"85";"NO|IN|IN|SI|SI|";"123";"147";"NO|NO|NO|SI|IN|";"No"
"5";"25 a 34";"Femenino";"Soltero/a";"Maestría completa o mayor";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"0";"Propietario";"Si";"Fondo Común de Inversión";"Centro";"Catolicismo";"No tengo vehículo propio";"No";"Solo datos móviles";"No";"2";"90";"93";"NO|SI|SI|SI|NO|";"468";"437";"NO|NO|SI|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"60";"57";"SI|NO|SI|SI|NO|";"718";"687";"SI|NO|SI|NO|NO|";"8437";"8125";"SI|NO|NO|SI|NO|";"72";"74";"NO|SI|SI|NO|NO|";"127";"141";"NO|NO|SI|NO|NO|";"426";"285";"NO|NO|NO|NO|SI|";"No"
"6";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"0";"Propietario";"No";"Ninguno";"Derecha";"Catolicismo";"Tengo 1";"Si";"Wifi por fibra óptica";"No";"1";"96";"93";"NO|SI|SI|SI|SI|";"718";"687";"NO|SI|NO|SI|SI|";"937";"625";"NO|NO|NO|NO|SI|";"46";"43";"SI|SI|NO|NO|IN|";"282";"313";"SI|SI|IN|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"88";"86";"NO|SI|SI|SI|SI|";"375";"396";"NO|SI|NO|NO|NO|";"417";"441";"NO|SI|NO|NO|NO|";"No"
"7";"25 a 34";"Femenino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase baja";"Accord";"0";"Alquila";"Si";"Plazo fijo";"Izquierda";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"No";"Wifi por cable";"No";"2";"22";"19";"NO|IN|IN|SI|SI|";"218";"187";"NO|NO|IN|SI|SI|";"313";"625";"NO|NO|NO|NO|IN|";"146";"143";"NO|SI|NO|NO|NO|";"1718";"1687";"NO|NO|SI|IN|IN|";"17813";"18125";"NO|NO|NO|SI|SI|";"4";"4";"NO|NO|IN|SI|SI|";"8";"14";"NO|NO|NO|NO|NO|";"75";"89";"NO|NO|NO|SI|IN|";"No"
"8";"55 a 64";"Femenino";"Divorciado/a o viudo/a";"Universitario o terciario completo";;"Ciudad Autónoma de Buenos Aires";"Otros";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase baja";"Accord";"2";"Propietario";"Si";"Otros";;"Sin respuesta";"Tengo 1";"Si";"Wifi por fibra óptica";"No";"3 o más";"190";"193";"SI|SI|SI|SI|NO|";"32";"63";"NO|IN|IN|IN|IN|";"313";"625";"NO|IN|IN|IN|IN|";"72";"69";"SI|NO|SI|NO|NO|";"968";"937";"SI|IN|IN|IN|IN|";"19687";"19375";"IN|IN|IN|IN|IN|";"200";"205";"SI|IN|IN|IN|IN|";"43";"42";"IN|SI|SI|SI|SI|";"513";"499";"SI|IN|IN|IN|SI|";"No"
"9";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"0";"Propietario";"Si";"Moneda extranjera";"Derecha";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"1";"128";"131";"SI|NO|SI|NO|NO|";"782";"813";"NO|SI|SI|NO|NO|";"5937";"5625";"NO|SI|NO|NO|SI|";"54";"57";"SI|NO|SI|SI|SI|";"656";"687";"SI|NO|SI|NO|SI|";"4687";"4375";"SI|SI|NO|NO|NO|";"197";"201";"SI|SI|NO|NO|NO|";"426";"450";"NO|SI|NO|NO|NO|";"3795";"3975";"NO|SI|NO|SI|NO|";"No"
"10";"55 a 64";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase baja";"Accord";"0";"Propietario";"Si";"Otros";"Sin respuesta";"Otras";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"3 o más";"166";"169";"SI|SI|IN|SI|NO|";"1282";"1313";"SI|NO|SI|NO|NO|";"12813";"13125";"SI|NO|SI|NO|NO|";"96";"93";"SI|NO|NO|NO|NO|";"94";"63";"SI|SI|SI|SI|NO|";"5937";"5625";"SI|NO|SI|SI|NO|";"296";"301";"SI|SI|SI|NO|NO|";"1338";"1378";"SI|NO|NO|NO|NO|";"6891";"7296";"NO|SI|NO|NO|NO|";"Sin respuesta"
